"Vehicle Category and Month Wise Data for Jammu & Kashmir (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
HEAVY GOODS VEHICLE,175,167,196,189,209,228,150,221,173,153,152,168,183,198,295,270,218,211,175,236,251,187,235,179,205,162,288,256,168,157,186,196,125,150,97,153,6962
HEAVY MOTOR VEHICLE,40,29,49,29,21,21,34,13,12,26,25,11,21,28,61,69,50,35,44,2,2,3,3,7,1,2,1,2,1,1,2,5,0,3,1,1,655
HEAVY PASSENGER VEHICLE,14,4,2,27,16,6,5,7,3,29,29,33,8,14,19,11,10,17,8,17,20,20,31,9,18,5,38,56,55,20,38,23,15,25,43,16,711
LIGHT GOODS VEHICLE,729,794,1052,981,772,725,784,765,579,537,546,565,608,570,749,600,572,517,491,525,519,521,517,577,689,527,677,566,540,413,559,466,415,452,490,462,21851
LIGHT MOTOR VEHICLE,4240,5044,5307,4793,5065,4583,4825,4617,4674,4737,4361,5605,4530,4725,5533,3786,4921,4265,4276,4355,4216,4528,4973,4493,5045,4100,4364,4514,3779,3511,4890,4181,3533,6240,4431,4706,165746
LIGHT PASSENGER VEHICLE,63,59,73,84,112,94,106,122,110,98,71,84,122,170,423,534,732,795,835,988,722,602,535,517,728,798,1006,1008,1076,928,993,859,529,623,583,461,17643
MEDIUM GOODS VEHICLE,20,22,26,30,21,14,21,21,28,19,19,7,23,27,19,22,12,19,22,23,16,19,21,9,22,12,44,18,32,12,25,18,21,16,12,19,731
MEDIUM MOTOR VEHICLE,1,4,1,3,2,5,0,2,0,2,1,2,2,3,1,3,0,4,1,2,2,3,1,2,5,1,5,2,0,2,2,6,0,4,0,0,74
MEDIUM PASSENGER VEHICLE,4,2,16,27,62,46,33,27,19,27,13,14,19,25,53,58,32,36,26,40,80,61,37,25,16,26,34,50,55,29,38,21,11,22,47,19,1150
OTHER THAN MENTIONED ABOVE,5,8,12,31,48,31,5,13,7,10,13,12,17,18,21,14,13,23,19,22,29,43,48,46,61,56,111,59,59,69,56,68,35,26,27,43,1178
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),316,422,539,464,453,462,645,674,688,584,600,642,525,654,901,645,1015,996,1095,1023,1116,1113,1209,1124,1150,1162,1246,817,1047,863,1181,1156,1093,1419,1294,939,31272
TWO WHEELER (Invalid Carriage),0,0,0,17,62,80,624,355,68,7,7,1,4,1,0,2,2,430,1283,1051,67,8,6,0,0,0,0,0,4,0,0,0,0,0,0,0,4079
TWO WHEELER(NT),3563,4837,5682,8308,9505,8064,8719,9132,8318,9180,4658,3944,3935,4868,7789,6301,9085,7919,8620,8704,8383,6754,8756,3669,4591,5074,6602,8736,7684,7723,11263,10283,6988,12930,7838,3325,261730
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Total,9170,11392,12955,14984,16348,14359,15951,15969,14679,15409,10495,11088,9997,11301,15864,12315,16662,15268,16895,16988,15424,13862,16372,10658,12532,11925,14416,16084,14500,13728,19233,17285,12765,21910,14863,10144,513790
