"Vehicle Category and Month Wise Data for Jammu & Kashmir (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
HEAVY GOODS VEHICLE,122,128,162,169,135,110,114,120,161,190,227,363,263,303,240,247,216,199,195,232,54,3950
HEAVY MOTOR VEHICLE,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,8
HEAVY PASSENGER VEHICLE,18,30,23,36,9,41,14,16,10,10,9,14,21,8,13,16,14,40,38,8,2,390
LIGHT GOODS VEHICLE,561,452,546,558,431,349,467,491,528,679,548,588,675,681,613,669,597,574,533,641,134,11315
LIGHT MOTOR VEHICLE,6253,4201,4870,4735,3841,3869,4815,4030,4540,9185,6279,7063,7145,5962,6706,6238,6532,6603,5993,6265,981,116106
LIGHT PASSENGER VEHICLE,520,718,957,960,424,259,262,251,194,259,227,275,313,470,621,557,399,456,434,370,56,8982
MEDIUM GOODS VEHICLE,25,16,14,19,12,14,30,18,14,18,9,20,22,25,31,28,18,37,23,18,5,416
MEDIUM MOTOR VEHICLE,0,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,13
MEDIUM PASSENGER VEHICLE,29,57,62,82,27,16,27,37,18,9,16,17,12,45,53,34,19,106,14,16,3,699
OTHER THAN MENTIONED ABOVE,42,41,60,56,27,68,22,19,20,31,32,27,27,49,141,60,60,98,67,80,4,1031
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),1012,1011,1025,966,952,893,1210,1004,950,1497,1163,1047,1091,1294,1352,1472,1401,1457,1600,1656,311,24364
TWO WHEELER (Invalid Carriage),0,1,190,6,83,30,136,36,61,4,5,2,0,0,1,64,30,19,0,7,0,675
TWO WHEELER(NT),4583,5076,6651,8858,8540,8930,10911,9230,7941,15889,7210,4733,4990,7815,10479,10742,10662,12624,12386,12593,2467,183310
TWO WHEELER(T),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,13166,11732,14565,16447,14483,14579,18009,15252,14437,27771,15726,14149,14561,16652,20252,20127,19951,22215,21283,21888,4017,351262
