"Vehicle Category and Month Wise Data for Karnataka (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),19,21,31,22,19,20,19,29,27,22,18,30,33,34,29,38,28,39,33,33,42,41,20,34,52,68,37,42,45,42,36,31,24,23,32,24,1137
HEAVY GOODS VEHICLE,1237,1081,1419,1519,1235,1226,1424,1364,1347,1356,1425,1249,1589,1485,1704,1567,1392,1220,1153,1260,1341,1654,1425,1265,1499,1454,1277,1247,1040,961,963,1193,1167,1360,1330,945,47373
HEAVY MOTOR VEHICLE,9,14,25,15,14,14,18,13,17,13,16,8,10,2,9,5,8,2,4,6,9,4,11,6,1,10,16,14,9,7,3,3,5,6,3,3,332
HEAVY PASSENGER VEHICLE,249,157,63,6,8,14,85,98,98,94,273,47,67,50,116,94,152,281,141,68,326,161,127,105,150,486,560,321,401,245,256,264,450,536,357,401,7307
LIGHT GOODS VEHICLE,3483,3095,4040,4224,3118,3583,3693,4041,4343,4476,4397,3522,4291,3985,4442,3740,3205,4051,4191,4001,4244,4948,4140,4766,4002,4475,4557,3893,3937,3857,3663,4617,3572,5193,4591,3421,145797
LIGHT MOTOR VEHICLE,27508,23066,29695,29723,24723,28606,25841,28356,29550,29646,29089,27747,30767,26690,32777,26446,25597,30020,27367,31127,26728,28950,29941,27637,33795,28620,28956,25260,25969,26084,23781,31998,22195,37069,27890,25690,1014904
LIGHT PASSENGER VEHICLE,721,547,815,1027,944,1684,1480,1535,1771,1799,1652,1688,2149,1565,2445,2250,2683,3339,2898,3364,2958,3121,2633,2125,4439,3711,4729,3561,4174,4289,3030,4207,2796,3615,2885,1575,90204
MEDIUM GOODS VEHICLE,397,339,351,425,298,325,302,378,395,415,408,344,369,335,404,326,294,334,306,280,351,453,346,478,277,345,249,274,252,237,302,287,288,302,264,195,11925
MEDIUM MOTOR VEHICLE,26,42,48,42,28,38,30,40,49,40,36,38,16,18,41,26,25,32,16,16,17,17,22,22,25,18,27,21,18,13,13,9,12,26,29,45,981
MEDIUM PASSENGER VEHICLE,95,69,51,80,127,430,367,251,207,179,149,97,92,86,174,214,462,592,542,302,167,139,155,136,178,163,142,147,540,778,357,274,197,231,244,182,8596
OTHER THAN MENTIONED ABOVE,216,263,404,338,252,316,356,293,418,479,485,542,424,565,599,518,391,506,376,422,500,444,530,526,616,680,580,525,406,371,356,516,385,620,517,463,16198
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),5,2,8,10,7,8,3,9,7,6,9,9,10,6,16,13,17,16,8,10,9,5,4,11,5,9,19,5,10,18,8,15,14,15,9,14,349
THREE WHEELER(T),2050,1970,2292,2279,1597,2002,2093,2247,3000,3679,4240,3214,4334,4244,5446,4115,4440,5347,4790,5270,5543,5494,5520,4403,5824,6314,6393,4703,6032,6625,6588,7383,6494,7262,5873,4245,163345
TWO WHEELER (Invalid Carriage),165,249,219,581,450,462,447,407,408,257,338,453,302,237,1167,733,183,208,330,301,179,138,31,499,158,263,347,228,222,269,1241,840,325,535,516,239,13927
TWO WHEELER(NT),73461,74941,91321,99708,83824,91076,77033,87866,87499,116186,108905,74672,94548,87974,104810,91417,97006,102148,95375,101803,106217,109355,137386,92170,116844,109613,124652,105042,112489,107234,97877,113521,97072,143782,137352,74348,3626527
TWO WHEELER(T),658,672,201,662,430,579,243,692,437,784,736,392,338,330,151,88,255,201,335,251,1530,453,502,393,158,223,313,102,408,420,339,472,1580,1163,606,860,17957
Total,110299,106528,130983,140661,117074,130383,113434,127619,129573,159431,152176,114052,139339,127606,154330,131590,136138,148336,137865,148514,150161,155377,182793,134576,168023,156452,172854,145385,155952,151450,138813,165630,136576,201738,182498,112650,5166859
