"Vehicle Category and Month Wise Data for Karnataka (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),37,32,18,27,36,36,27,38,40,18,64,36,34,43,35,40,32,22,47,30,9,701
HEAVY GOODS VEHICLE,1329,1338,1507,1452,1121,1022,1161,1173,1147,1166,1216,1163,1534,1648,1940,1667,1467,1377,1456,1719,475,28078
HEAVY MOTOR VEHICLE,6,5,8,5,11,4,1,1,0,2,5,2,4,6,2,3,1,3,1,1,0,71
HEAVY PASSENGER VEHICLE,426,117,213,99,80,106,119,201,83,47,58,175,119,298,239,134,266,223,379,282,107,3771
LIGHT GOODS VEHICLE,5006,4290,4264,3628,3873,3725,3856,4565,4165,6670,4932,4197,6032,5064,5224,4785,4082,4839,5073,5040,919,94229
LIGHT MOTOR VEHICLE,37665,24184,30965,28611,27433,26454,27077,32326,27415,41401,35480,31182,42681,31607,37231,37910,32709,35432,33009,33318,6190,660280
LIGHT PASSENGER VEHICLE,3964,2900,3099,3282,3728,3545,3688,3959,2761,4756,3590,2472,5346,3879,4417,4276,4259,5097,5413,5266,1005,80702
MEDIUM GOODS VEHICLE,318,291,317,223,200,215,248,251,304,358,325,321,385,356,454,315,271,251,454,340,79,6276
MEDIUM MOTOR VEHICLE,34,10,29,23,21,40,16,30,22,24,35,21,30,20,17,12,37,32,42,27,4,526
MEDIUM PASSENGER VEHICLE,201,248,198,298,798,798,558,398,304,249,231,225,259,163,162,261,643,930,610,279,79,7892
OTHER THAN MENTIONED ABOVE,593,458,778,312,277,381,261,353,308,367,332,385,601,399,482,344,218,269,350,393,66,7927
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),7,2,8,8,10,12,16,12,7,15,15,18,13,22,14,8,10,15,11,21,2,246
THREE WHEELER(T),6467,5880,4941,4479,5510,6005,5670,6355,5451,7426,6368,4528,6212,6110,5631,6839,6681,7339,7448,7116,1420,123876
TWO WHEELER (Invalid Carriage),390,317,156,364,522,309,299,219,258,92,282,662,368,357,466,590,438,298,222,230,18,6857
TWO WHEELER(NT),114728,91220,111400,104252,106011,99928,92333,113406,96065,193446,127614,84965,131833,118223,145302,126276,121313,130429,128644,129177,23021,2389586
TWO WHEELER(T),754,248,755,427,709,818,481,1042,1184,770,1232,1081,1151,1298,1323,1958,1660,2133,2448,2340,0,23812
Total,171925,131540,158656,147490,150340,143398,135811,164329,139514,256807,181779,131433,196602,169493,202939,185418,174087,188689,185607,185579,33394,3434830
