"Vehicle Category and Month Wise Data for Ladakh (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,1,0,4,3,23,19,11,3,0,0,0,5,1,5,62,18,0,0,0,0,0,0,0,2,3,4,0,2,9,2,21,19,8,15,16,26,282
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HEAVY PASSENGER VEHICLE,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
LIGHT GOODS VEHICLE,21,3,16,14,20,51,28,7,0,2,0,1,1,26,110,37,0,0,0,1,24,15,62,29,56,11,8,3,8,16,59,45,23,20,21,20,758
LIGHT MOTOR VEHICLE,161,10,74,51,108,237,251,252,23,88,57,189,66,42,270,78,0,8,12,104,296,175,462,271,269,95,86,23,73,114,563,495,478,299,306,181,6267
LIGHT PASSENGER VEHICLE,0,2,1,4,4,7,15,0,4,1,1,7,5,3,6,5,0,0,0,0,0,0,1,4,7,2,3,0,1,19,5,10,10,8,18,5,158
MEDIUM GOODS VEHICLE,3,0,1,1,0,4,2,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,6,1,0,2,1,3,0,0,9,6,2,0,4,2,65
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4
MEDIUM PASSENGER VEHICLE,4,0,4,2,1,4,2,1,1,0,0,3,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,39
OTHER THAN MENTIONED ABOVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
TWO WHEELER(NT),5,1,13,10,25,50,51,47,5,22,3,3,7,3,61,56,0,0,1,8,32,3,14,3,15,31,4,3,13,3,52,30,26,18,28,15,661
TWO WHEELER(T),0,0,0,0,3,26,9,7,0,0,0,0,2,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Total,195,16,113,96,184,398,373,317,34,113,61,208,83,79,563,220,0,8,13,113,352,193,545,310,350,146,102,34,105,156,712,605,548,362,394,250,8351
