"Vehicle Category and Month Wise Data for Maharashtra (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),20,17,20,22,23,15,11,5,13,16,20,15,12,17,18,0,0,5,11,9,16,10,25,27,27,27,36,24,11,39,42,43,38,28,24,26,712
HEAVY GOODS VEHICLE,3406,3237,3775,3342,3043,2124,2151,2253,2077,2419,2805,2219,2659,2567,4319,369,0,16,108,193,434,912,1104,1456,2013,2149,2335,1702,1130,1279,1159,1453,1846,2110,2314,2173,68651
HEAVY MOTOR VEHICLE,64,53,62,55,37,21,18,35,24,37,54,41,50,63,69,5,3,13,19,21,34,27,46,40,38,50,97,50,13,52,35,56,49,39,22,35,1427
HEAVY PASSENGER VEHICLE,63,126,97,131,183,129,239,356,307,388,415,248,298,245,1000,246,0,0,2,2,8,11,12,8,3,41,6,113,15,10,26,93,94,37,56,100,5108
LIGHT GOODS VEHICLE,7180,6190,6337,6516,5851,5206,5241,5518,5492,7099,8722,5825,8257,6616,9914,791,19,620,1865,3039,4318,5695,6445,5447,5580,5343,5780,3666,1601,3054,5344,5761,5707,6142,6634,5550,188365
LIGHT MOTOR VEHICLE,42691,25418,32104,33307,32189,25015,25290,25820,22183,37671,39423,27868,43072,27595,30252,1344,2599,16145,25669,31523,36569,43852,45882,40061,45736,40178,45944,20622,14895,32524,49290,47203,37126,43030,36548,39927,1166565
LIGHT PASSENGER VEHICLE,1730,2300,1718,1507,2028,1800,1839,1838,1528,1770,2254,1744,2441,1618,2223,184,1,94,280,315,421,436,476,428,531,622,842,409,486,834,862,786,776,891,721,794,39527
MEDIUM GOODS VEHICLE,602,499,532,469,408,295,297,341,325,317,364,315,453,443,639,49,0,6,64,62,122,185,249,290,409,409,506,339,161,248,277,346,407,471,497,422,11818
MEDIUM MOTOR VEHICLE,154,95,130,81,97,52,84,79,94,101,114,108,96,103,128,10,3,33,87,64,122,310,259,196,163,108,108,29,32,91,156,186,226,334,217,182,4432
MEDIUM PASSENGER VEHICLE,114,109,136,185,134,259,244,170,133,144,136,152,212,209,793,108,0,2,2,11,15,11,42,20,78,90,89,30,55,58,94,26,26,33,22,40,3982
OTHER THAN MENTIONED ABOVE,660,609,747,592,618,559,550,395,411,436,701,666,719,791,1063,82,24,257,343,401,844,527,618,823,829,926,1053,348,117,394,494,496,609,588,536,503,20329
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),14,2,1,2,2,3,2,0,0,0,23,3,1,1,1,0,2,2,1,3,0,0,2,1,1,1,1,1,0,0,1,1,1,2,2,0,77
THREE WHEELER(T),9723,8550,9269,7901,8521,7284,7998,7691,6779,7370,8254,6508,8595,7322,6637,750,50,1194,1506,1510,1892,1847,1952,2389,2975,3242,3837,1223,298,892,2621,2711,3136,3115,3131,2624,161297
TWO WHEELER (Invalid Carriage),76,59,89,78,63,58,59,68,61,148,89,91,95,90,312,25,0,8,19,20,37,45,34,63,55,51,81,38,0,39,116,151,113,81,67,72,2551
TWO WHEELER(NT),156501,121053,132991,142474,151125,118342,120789,111571,111615,149060,213670,162389,147283,125221,210533,17546,3056,41702,70694,83998,110338,121533,178638,192634,144926,132702,126809,45527,16621,75104,146090,119072,92341,131317,168326,134494,4328085
TWO WHEELER(T),4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
Total,223002,168318,188008,196662,204322,161162,164812,156140,151042,206976,277044,208192,214243,172901,267901,21509,5757,60097,100670,121171,155170,175401,235784,243883,203364,185939,187524,74121,35435,114618,206607,178384,142495,188218,219117,186945,6002934
