"Vehicle Category and Month Wise Data for Meghalaya (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,78,87,166,67,153,101,75,87,84,81,96,53,105,110,131,12,0,21,22,22,41,35,20,117,65,86,70,73,8,17,29,266,71,53,52,73,2627
HEAVY MOTOR VEHICLE,0,0,2,0,1,1,0,1,0,1,0,1,2,3,2,2,0,1,3,0,0,0,0,0,0,0,1,3,0,0,2,0,2,1,1,1,31
HEAVY PASSENGER VEHICLE,0,1,0,1,1,0,1,2,0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
LIGHT GOODS VEHICLE,216,185,221,167,218,205,191,172,203,243,281,148,284,313,285,38,6,80,64,109,204,195,151,175,155,142,191,172,47,76,165,211,184,144,169,151,6161
LIGHT MOTOR VEHICLE,1024,711,811,703,795,702,724,711,793,994,1030,630,1092,992,655,102,84,465,563,720,912,927,887,865,1015,887,1053,859,91,245,714,751,807,636,731,804,26485
LIGHT PASSENGER VEHICLE,169,115,174,138,166,149,150,187,189,244,233,145,254,202,120,16,5,72,76,92,111,100,104,93,136,127,147,72,0,12,42,102,119,89,92,95,4337
MEDIUM GOODS VEHICLE,37,25,40,18,33,19,25,8,8,16,11,8,9,21,21,6,0,0,4,2,5,2,2,3,5,10,5,5,2,1,4,0,1,5,2,4,367
MEDIUM MOTOR VEHICLE,1,1,0,1,5,0,2,0,1,2,1,0,1,1,0,0,0,0,1,0,1,2,0,1,0,1,1,0,0,1,0,2,2,0,1,0,29
MEDIUM PASSENGER VEHICLE,2,3,1,0,11,5,1,2,1,8,4,2,4,4,8,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,1,0,0,2,65
OTHER THAN MENTIONED ABOVE,20,13,19,20,31,16,18,17,20,37,37,18,36,35,20,1,1,7,14,6,49,26,37,35,25,35,29,21,2,20,12,17,21,41,36,26,818
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
THREE WHEELER(T),82,60,88,67,100,69,82,67,86,90,83,48,83,87,95,1,5,5,12,26,52,40,44,31,23,44,49,50,12,19,21,23,28,35,41,28,1776
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),1091,1157,1386,1212,1689,1634,1442,1635,1577,1564,1386,817,1260,1207,1235,92,52,720,818,872,1210,1069,1059,944,1068,1172,1609,1188,340,358,724,1040,1391,1414,1439,1104,39975
TWO WHEELER(T),0,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,2,2,1,4,1,2,0,1,0,0,0,1,2,2,1,3,1,30
Total,2720,2360,2910,2394,3203,2901,2711,2892,2963,3286,3164,1872,3132,2977,2573,270,153,1371,1578,1851,2588,2400,2308,2265,2496,2504,3157,2443,502,750,1714,2415,2629,2421,2567,2289,82729
