"Vehicle Category and Month Wise Data for All State (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),213,249,295,236,251,282,248,265,259,291,353,304,304,294,339,318,348,383,349,343,339,311,366,332,370,387,369,376,387,313,352,268,245,373,305,284,11301
HEAVY GOODS VEHICLE,21128,20924,26021,27900,22401,20305,18628,19577,21562,23204,25331,21925,27460,27560,33396,31519,25141,21313,20455,22097,24495,28532,25833,22479,28260,27314,28172,30318,24252,19724,21803,19442,20547,26551,22734,20653,868956
HEAVY MOTOR VEHICLE,513,462,536,519,487,488,467,395,446,526,519,561,487,463,594,609,593,552,434,438,466,483,417,389,389,406,487,458,413,381,367,319,378,397,299,407,16545
HEAVY PASSENGER VEHICLE,962,1065,912,1051,867,915,1221,1327,1286,1221,1512,1438,1619,1621,2420,2277,2354,1867,1466,1493,1874,1875,2068,1810,2666,2834,3460,2922,2844,2542,2855,2413,2941,3788,2562,2760,71108
LIGHT GOODS VEHICLE,49926,46860,57093,51967,46681,49396,50452,48837,52202,53714,60277,50398,58173,53185,57019,49076,46974,46930,47862,49400,51394,56997,56002,49568,56501,54087,53738,49040,48232,43132,48783,45266,45203,61582,53633,45475,1845055
LIGHT MOTOR VEHICLE,357074,328761,378335,346797,356616,358019,351753,361654,343111,421496,390796,366473,425146,363668,417284,342604,371097,393264,372211,385691,382539,413876,429264,372859,482328,402905,392977,387649,367811,349478,394845,371005,333588,549401,406766,391250,13860391
LIGHT PASSENGER VEHICLE,10226,9427,12927,12477,14119,15941,16954,17852,18242,16799,17481,16362,18685,16227,23945,21579,23671,26635,28310,31306,28838,28441,25114,23002,33799,30710,33196,32161,33074,31342,35068,31938,28175,34186,27214,22557,847980
MEDIUM GOODS VEHICLE,4012,3605,3941,4189,3196,3017,2893,2976,3285,3253,3484,2778,3357,3250,3576,3746,3199,2646,3045,3357,3336,3889,3352,3076,3493,3481,3387,3573,3250,2925,3347,3285,3493,3920,3458,2889,120959
MEDIUM MOTOR VEHICLE,1173,1171,1672,1199,1167,1188,1045,947,1309,1403,1498,1286,1161,1069,1158,907,1018,1002,792,827,946,1004,1046,1052,1017,1226,1074,1018,893,790,791,684,809,968,1015,1009,38334
MEDIUM PASSENGER VEHICLE,540,598,720,1025,1245,2421,2402,2287,1933,1445,1403,1379,1367,1504,2622,2758,2892,3977,3552,2805,2323,2031,1835,1733,1790,2634,2764,2924,3517,4366,3940,2866,2457,2450,1930,1689,80124
OTHER THAN MENTIONED ABOVE,3437,4085,5360,4204,3879,3874,3263,3111,4192,4167,5005,5982,5288,6146,7158,5496,5543,7713,4276,4607,5491,6310,6349,6237,6969,7787,8343,7063,6313,5383,5185,5234,5914,8582,6920,7366,202232
THREE WHEELER (Invalid Carriage),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,1,4,1,0,3,1,18
THREE WHEELER(NT),477,550,643,629,654,716,864,1225,1772,2378,2009,1952,1959,2093,2049,474,77,107,92,107,89,80,105,91,60,76,107,68,84,99,79,95,91,97,82,70,22200
THREE WHEELER(T),44715,43096,52683,46388,45409,50628,54987,61143,69517,72713,81914,69898,72128,77506,91867,76444,85253,93105,101806,108251,109631,114328,107238,101098,102979,99063,108325,82918,101299,98057,114947,109055,110555,127368,112932,96482,3095726
TWO WHEELER (Invalid Carriage),675,1167,2048,2271,1504,1073,1379,1015,668,504,580,841,676,1502,4118,2121,2148,1637,2120,2181,2646,3281,635,1398,842,2504,3181,1347,885,808,1621,1007,631,735,891,1447,54087
TWO WHEELER(NT),1202036,1152306,1337530,1373373,1411892,1275395,1182563,1223699,1126973,1776407,1922505,1186726,1320149,1319936,1499894,1279150,1545076,1362100,1279449,1314856,1364936,1562299,2323216,1518172,1525015,1506086,1593870,1699984,1596669,1434780,1512967,1395433,1259570,2133276,2711874,1255115,53485277
TWO WHEELER(T),1073,1074,879,1593,1662,1789,1235,1998,1428,2271,2537,2104,1236,1052,1357,1283,1629,1245,1207,1220,2612,1763,1741,1828,1234,1231,1790,1258,1809,1849,1760,1856,2652,2731,2220,2456,60662
Total,1698180,1615400,1881596,1875818,1912030,1785447,1690354,1748308,1648185,2381792,2517204,1730407,1939195,1877076,2148796,1820361,2117013,1964476,1867426,1928980,1981955,2225500,2984581,2105124,2247712,2142731,2235241,2303079,2191735,1995969,2148711,1990170,1817250,2956405,3354838,1851910,74680955
