"Vehicle Category and Month Wise Data for All State (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),377,264,299,292,349,273,326,307,248,265,362,328,335,277,252,308,256,331,343,369,49,6210
HEAVY GOODS VEHICLE,27524,24442,26706,29196,22084,19218,20666,19156,19272,25843,27355,26004,32991,33239,33392,32804,24280,22248,26023,24324,4176,520943
HEAVY MOTOR VEHICLE,507,315,438,386,425,598,222,191,197,249,223,236,244,358,258,263,180,206,216,138,21,5871
HEAVY PASSENGER VEHICLE,3395,2612,3642,3367,3523,3295,3490,4381,3024,2848,2379,3086,2333,3323,2839,2403,2478,2902,2965,3143,530,61958
LIGHT GOODS VEHICLE,61507,49331,55128,47335,46637,47067,48703,48920,47042,79848,64229,55367,71790,63138,63368,57665,53315,59698,64345,57663,7044,1149140
LIGHT MOTOR VEHICLE,556923,365035,417413,409774,371177,370042,405688,400906,365209,626242,522594,490621,629012,472310,516750,471027,466330,488082,505852,454150,49734,9354871
LIGHT PASSENGER VEHICLE,39918,29420,33310,36182,32254,32746,37706,34941,28144,42934,34059,30403,36234,41087,43365,42367,38549,44688,46540,43003,5115,752965
MEDIUM GOODS VEHICLE,4383,3608,3943,4121,3451,3159,3558,3535,3962,5306,5196,4540,6040,6101,5932,5914,4354,4496,5475,4879,780,92733
MEDIUM MOTOR VEHICLE,1023,865,1205,908,760,951,491,564,819,1058,1121,1011,808,873,980,732,585,612,581,492,73,16512
MEDIUM PASSENGER VEHICLE,2465,2552,3133,3421,3895,5224,4441,3820,2653,2232,2333,2184,1887,2365,2831,3588,3712,6045,4813,3431,448,67473
OTHER THAN MENTIONED ABOVE,9148,7948,9555,7090,6641,8637,4182,4774,5883,6953,6879,7240,8486,8651,8932,7262,6085,6033,6021,6267,994,143661
THREE WHEELER (Invalid Carriage),0,0,2,0,1,1,1,1,3,0,51,0,1,1,0,0,2,1,0,1,0,66
THREE WHEELER(NT),86,71,90,142,136,93,95,128,138,243,147,113,124,108,118,110,101,123,177,165,22,2530
THREE WHEELER(T),109962,97260,102500,102544,107537,103928,115062,112416,108300,135775,137521,130172,130334,120487,112800,109995,114925,125027,138240,125324,13729,2353838
TWO WHEELER (Invalid Carriage),1651,2669,6318,1780,1636,893,1021,709,1040,813,1857,4150,2625,5353,2007,1238,713,604,526,785,49,38437
TWO WHEELER(NT),1589893,1409476,1568211,1748357,1713804,1506466,1415797,1430487,1342380,3237648,2642317,1388516,1919985,1766185,2023479,1986747,1858775,1839158,1825671,1713857,210202,36137411
TWO WHEELER(T),1578,1178,2734,1884,1723,1871,1952,2009,2721,2159,2753,2918,2752,2861,2971,3690,3198,3529,4127,4133,141,52882
Total,2410340,1997046,2234627,2396779,2316033,2104462,2063401,2067245,1931035,4170416,3451376,2146889,2845981,2526717,2820274,2726113,2577838,2603783,2631915,2442124,293107,50757501
