"Vehicle Category and Month Wise Data for Madhya Pradesh (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,10
HEAVY GOODS VEHICLE,992,997,1160,1158,823,594,657,388,295,465,482,410,464,497,616,287,0,12,36,92,134,191,302,307,445,460,497,236,73,375,322,297,351,376,321,352,15464
HEAVY MOTOR VEHICLE,68,52,75,61,35,48,40,33,34,23,22,48,38,33,38,47,2,4,28,15,20,16,22,21,26,28,44,12,0,26,39,31,33,20,19,34,1135
HEAVY PASSENGER VEHICLE,95,178,140,93,67,74,46,46,78,85,83,66,95,135,170,49,1,6,11,2,8,12,7,19,14,11,20,17,5,33,29,10,23,22,18,13,1781
LIGHT GOODS VEHICLE,2483,2400,2531,2175,2274,1856,2371,1793,1666,2081,2926,2480,2701,2815,3540,1943,4,216,773,908,1394,1357,1886,1994,1742,1438,1933,652,67,1259,1527,1419,1479,1329,1749,1741,62902
LIGHT MOTOR VEHICLE,21374,19499,19478,15226,17657,17032,21492,15377,11908,14719,23185,19501,21918,18894,16967,3085,615,13530,23228,19919,20628,17194,25190,31551,24209,20063,26960,7432,786,20598,28011,22058,19319,15125,20709,23862,658299
LIGHT PASSENGER VEHICLE,1145,1268,1623,1238,1140,1053,1448,1058,684,707,919,692,789,703,957,438,3,91,199,175,234,246,391,338,326,375,464,165,7,348,396,343,314,261,437,358,21333
MEDIUM GOODS VEHICLE,94,73,91,79,68,51,48,34,43,67,51,42,69,75,85,43,0,3,4,13,23,26,54,47,41,63,64,26,2,32,22,43,35,35,33,21,1600
MEDIUM MOTOR VEHICLE,210,222,352,272,182,165,242,137,91,192,210,163,216,259,338,51,8,109,235,179,179,209,152,239,276,182,323,69,59,369,402,318,361,161,199,189,7520
MEDIUM PASSENGER VEHICLE,119,91,123,113,73,120,155,154,125,127,90,55,84,93,198,46,0,3,2,3,15,15,23,14,8,18,63,8,1,48,33,9,11,22,20,17,2099
OTHER THAN MENTIONED ABOVE,95,121,126,138,120,129,212,118,149,162,144,107,132,112,157,58,0,28,57,36,70,86,63,69,79,85,141,43,4,103,178,145,161,124,137,169,3858
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
THREE WHEELER(T),2417,2370,2437,1967,1800,1793,3163,2253,2108,2303,2884,2728,2744,2799,3652,2489,33,252,440,526,875,792,976,1261,1266,895,1192,303,5,664,973,1016,1420,1180,1458,1837,57271
TWO WHEELER (Invalid Carriage),29,9,12,5,22,20,16,10,7,15,14,22,24,13,28,18,0,3,6,4,7,7,7,11,5,6,13,4,0,3,6,7,6,5,5,9,378
TWO WHEELER(NT),112365,94826,97960,99879,123319,105276,116864,74546,62783,85343,132681,127920,101546,96551,141152,88500,1750,43981,75324,77082,71828,64983,99756,138538,104926,72955,80673,29501,6302,90927,99098,67860,65156,52075,99564,110863,3114653
TWO WHEELER(T),4,0,0,3,0,1,3,1,1,1,1,1,0,2,1,1,0,0,1,1,1,1,0,0,3,1,1,0,0,0,2,3,1,1,1,1,38
Total,141491,122108,126110,122407,147580,128212,146757,95948,79973,106290,163693,154236,130821,122981,167899,97055,2416,58238,100344,98955,95416,85135,128829,174409,133366,96580,112390,38469,7311,114785,131038,93559,88671,70736,124671,139466,3948345
