"Vehicle Category and Month Wise Data for Mizoram (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HEAVY GOODS VEHICLE,73,90,40,31,16,15,14,9,16,14,40,20,15,24,31,29,17,13,28,21,21,17,62,31,34,19,37,29,15,44,9,8,10,17,31,22,962
HEAVY MOTOR VEHICLE,0,1,0,0,0,1,1,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,21
HEAVY PASSENGER VEHICLE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LIGHT GOODS VEHICLE,163,156,169,161,122,127,109,129,149,135,144,121,136,134,147,65,131,107,140,136,140,134,107,136,134,167,166,169,119,127,124,126,108,123,151,116,4828
LIGHT MOTOR VEHICLE,292,322,368,295,354,358,297,385,345,329,340,412,425,302,403,317,366,368,419,394,392,404,492,521,480,437,407,417,295,231,369,269,249,276,405,424,13159
LIGHT PASSENGER VEHICLE,14,29,38,21,39,12,14,24,33,30,34,37,43,38,22,16,16,16,19,18,21,43,48,43,38,65,58,32,32,31,20,24,28,36,41,30,1103
MEDIUM GOODS VEHICLE,18,15,16,11,5,5,9,7,11,4,10,12,12,8,10,15,10,8,9,9,12,12,10,8,15,13,11,6,10,8,10,8,7,9,15,5,363
MEDIUM MOTOR VEHICLE,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,1,0,18
MEDIUM PASSENGER VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTHER THAN MENTIONED ABOVE,13,15,10,12,6,5,3,8,6,7,4,11,2,6,7,2,3,7,9,7,9,12,11,10,5,7,11,10,5,5,8,11,8,7,5,12,279
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
THREE WHEELER(T),10,27,42,64,105,24,6,21,42,28,57,48,98,67,12,10,10,10,9,15,48,80,65,79,103,125,70,29,20,18,11,10,8,4,7,8,1390
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),1246,1450,1732,1476,1544,1710,1416,2052,1560,1626,1537,1783,1594,1650,1613,1563,1622,1790,1718,1904,1539,1895,1889,1900,1775,1928,1741,1796,2133,1774,2016,1662,1576,1798,2071,1760,61839
TWO WHEELER(T),139,149,115,53,94,41,12,9,8,10,7,8,6,5,5,3,5,4,5,4,22,71,87,74,98,218,193,72,35,33,13,3,13,14,18,7,1653
Total,1971,2256,2530,2126,2285,2298,1881,2647,2176,2185,2173,2453,2332,2234,2250,2021,2181,2323,2357,2508,2204,2668,2771,2803,2682,2980,2699,2560,2670,2271,2580,2122,2007,2285,2745,2386,85620
