"Vehicle Category and Month Wise Data for Nagaland (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,899,906,804,1123,820,647,954,616,910,445,998,614,1216,994,1120,1206,641,647,850,721,167,17298
HEAVY MOTOR VEHICLE,2,0,2,7,0,2,1,0,0,0,0,2,3,1,1,0,0,3,0,1,0,25
HEAVY PASSENGER VEHICLE,41,24,42,71,0,16,38,87,53,20,20,23,0,0,0,0,0,0,0,0,1,436
LIGHT GOODS VEHICLE,60,115,67,123,80,65,81,98,98,41,139,97,97,86,109,88,156,213,165,72,15,2065
LIGHT MOTOR VEHICLE,694,618,586,592,551,580,651,605,550,387,1037,743,934,764,767,704,765,754,786,770,162,14000
LIGHT PASSENGER VEHICLE,31,93,20,31,16,21,14,23,34,12,27,67,2,5,2,1,1,14,12,45,7,478
MEDIUM GOODS VEHICLE,1,8,37,3,7,14,19,14,13,1,24,7,14,5,11,10,16,6,6,7,1,224
MEDIUM MOTOR VEHICLE,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8
MEDIUM PASSENGER VEHICLE,4,5,0,1,8,3,2,4,2,0,1,3,0,0,0,0,0,1,2,11,10,57
OTHER THAN MENTIONED ABOVE,60,46,46,49,75,96,23,19,25,5,39,42,34,49,54,51,44,42,45,33,14,891
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),73,52,68,42,51,36,24,42,50,16,65,50,61,68,53,45,44,65,49,58,6,1018
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),486,503,474,494,636,469,528,462,345,260,752,447,528,597,573,623,653,673,656,634,92,10885
TWO WHEELER(T),0,0,0,1,40,60,162,57,92,15,37,12,11,12,16,8,13,15,14,12,1,578
Total,2353,2372,2146,2537,2285,2009,2497,2027,2172,1202,3139,2108,2900,2582,2706,2736,2333,2434,2585,2364,476,47963
