"Vehicle Category and Month Wise Data for Odisha (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),3,2,0,0,2,3,1,0,0,2,1,1,3,1,0,2,1,1,1,0,1,25
HEAVY GOODS VEHICLE,1319,1008,1132,1241,960,940,923,693,666,935,1005,1007,1339,1158,1120,1222,1011,865,1100,828,238,20710
HEAVY MOTOR VEHICLE,9,2,1,1,1,28,0,2,0,2,2,4,0,4,15,3,6,9,12,7,0,108
HEAVY PASSENGER VEHICLE,77,56,55,27,125,80,63,30,62,42,25,29,154,21,74,47,31,40,40,29,5,1112
LIGHT GOODS VEHICLE,1962,1633,1823,1488,1547,1347,1383,1416,1628,2300,1937,1852,2017,2002,2055,1827,1779,1582,1775,1702,251,35306
LIGHT MOTOR VEHICLE,9030,6452,8664,7395,7505,8805,9266,7182,7421,12982,9547,9708,9834,8095,8681,8830,10285,10547,12053,9713,1546,183541
LIGHT PASSENGER VEHICLE,884,777,936,919,778,798,853,775,731,1171,855,1123,1234,1038,898,904,835,859,901,916,196,18381
MEDIUM GOODS VEHICLE,44,29,50,38,33,57,43,29,42,44,50,53,57,44,57,62,65,64,66,75,13,1015
MEDIUM MOTOR VEHICLE,49,14,19,6,2,10,4,3,1,4,8,3,5,5,6,3,8,3,5,4,1,163
MEDIUM PASSENGER VEHICLE,108,89,132,85,81,66,97,90,55,80,101,97,82,90,67,114,97,103,99,92,18,1843
OTHER THAN MENTIONED ABOVE,530,421,522,447,413,608,219,186,244,276,334,440,572,578,537,465,380,345,290,270,90,8167
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
THREE WHEELER(T),1869,1905,2053,1906,1985,1895,2118,1817,2008,3651,2273,2125,2516,2567,2869,2644,2824,2624,3112,2717,508,47986
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,5
TWO WHEELER(NT),53972,56202,65171,57469,55231,53415,45197,44180,57232,114801,57336,54151,69365,68597,80067,72175,65851,64616,59642,53813,10235,1258718
TWO WHEELER(T),19,27,23,17,28,18,28,43,25,68,29,40,44,89,44,170,27,58,75,112,7,991
Total,69875,68617,80583,71039,68691,68071,60195,56447,70115,136359,73504,70633,87222,84290,96490,88470,83200,81716,79171,70278,13109,1578075
