"Vehicle Category and Month Wise Data for Punjab (2019-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,0,2,1,1,1,3,2,0,2,1,3,2,0,1,0,1,2,1,1,33
HEAVY GOODS VEHICLE,803,982,1066,995,989,897,681,726,748,682,684,555,468,699,1162,1162,541,583,610,675,718,825,773,667,855,867,870,949,743,683,650,764,689,592,517,601,27471
HEAVY MOTOR VEHICLE,4,3,1,0,1,1,1,2,0,1,0,1,1,1,5,2,1,1,3,4,3,0,2,1,0,5,9,5,6,3,4,6,4,3,3,5,92
HEAVY PASSENGER VEHICLE,90,52,60,51,83,81,56,71,45,42,31,44,34,39,171,146,110,120,38,55,101,36,35,11,25,67,35,42,62,31,66,129,101,84,35,22,2301
LIGHT GOODS VEHICLE,1014,1244,1440,1066,1312,1322,1032,1234,965,971,923,1029,854,1059,1611,1193,1478,1686,1353,1055,981,932,1258,1145,816,1270,1297,1431,1312,1079,1281,1251,1098,1165,914,1349,42420
LIGHT MOTOR VEHICLE,12247,12097,11359,9485,10631,9855,10082,9920,7668,12206,8876,11940,11865,11375,12843,10160,10794,12546,11135,9424,9806,10556,10410,12818,10932,11259,13632,9559,10960,12103,11004,11239,9507,11409,12655,13950,398307
LIGHT PASSENGER VEHICLE,432,404,418,470,577,611,576,641,543,431,439,538,515,666,1039,632,681,658,583,338,248,282,508,471,323,386,618,672,733,647,224,565,587,471,457,413,18797
MEDIUM GOODS VEHICLE,36,42,37,38,50,58,55,33,47,48,39,47,32,43,71,61,49,32,32,23,18,35,37,40,28,30,26,32,26,29,32,26,28,37,31,30,1358
MEDIUM MOTOR VEHICLE,8,18,11,9,12,16,23,4,9,13,6,12,8,4,18,15,12,13,17,17,12,6,5,6,4,26,22,11,23,17,74,39,40,20,22,31,603
MEDIUM PASSENGER VEHICLE,23,38,46,51,71,67,40,51,31,35,21,37,10,29,38,41,62,70,70,29,25,15,32,25,14,14,22,50,74,47,40,58,103,76,21,20,1496
OTHER THAN MENTIONED ABOVE,1399,1943,2183,1496,2068,2153,1727,1659,1410,1168,1144,1392,1038,634,1969,1740,2379,2341,2386,2095,985,1110,2046,1972,922,1168,735,734,691,53,42,132,139,161,114,110,45438
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),613,295,419,334,454,422,469,609,551,489,418,542,361,344,596,537,496,459,372,400,448,496,553,438,296,621,446,417,612,528,802,844,709,651,566,755,18362
TWO WHEELER (Invalid Carriage),1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,1,0,0,14
TWO WHEELER(NT),46758,48772,49083,44235,49107,46909,50959,52887,45762,56393,63043,45151,43242,47700,69095,63211,48822,50154,54533,42129,42622,69032,75747,47859,52552,45729,52770,51810,44837,56098,57534,61987,50514,52704,83272,54053,1917065
TWO WHEELER(T),0,2,0,1,2,0,0,3,1,2,1,2,0,0,3,0,2,4,4,8,5,1,2,4,9,9,8,10,19,2,6,9,9,12,8,10,158
Total,63429,65893,66123,58232,65357,62392,65701,67840,57782,72482,75625,61292,58428,62594,88621,78903,65429,68667,71138,56253,55973,83327,91411,65462,66776,61454,70492,65725,60100,71322,71760,77049,63529,67388,98616,71350,2473915
