"Vehicle Category and Month Wise Data for Puducherry (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,8
HEAVY GOODS VEHICLE,1,4,4,1,0,2,8,1,1,0,7,1,4,2,5,3,3,5,5,0,1,0,6,2,2,4,6,3,9,13,4,3,1,3,3,3,120
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4
HEAVY PASSENGER VEHICLE,0,0,1,0,1,0,0,2,1,0,2,0,2,4,4,4,2,12,11,4,10,15,6,6,5,12,20,26,7,0,10,12,8,9,6,7,209
LIGHT GOODS VEHICLE,29,34,41,41,37,34,37,35,39,24,22,26,31,37,30,26,24,20,39,45,24,28,46,23,36,34,50,44,48,36,25,20,35,25,27,20,1172
LIGHT MOTOR VEHICLE,756,614,810,695,714,793,659,732,834,734,730,688,994,680,937,684,868,856,767,904,829,892,901,821,1179,1065,933,1011,1123,1012,1117,1040,1019,1046,916,939,31292
LIGHT PASSENGER VEHICLE,7,13,15,11,22,23,31,25,24,18,54,26,31,38,71,68,74,73,66,70,119,113,102,49,77,124,98,97,103,71,95,87,85,85,48,63,2176
MEDIUM GOODS VEHICLE,2,0,2,0,3,5,0,1,0,1,2,2,1,1,3,2,1,2,1,0,1,4,4,0,2,0,1,0,3,1,1,1,0,1,0,2,50
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,10
MEDIUM PASSENGER VEHICLE,0,0,0,0,1,0,12,3,4,0,1,12,0,2,5,3,7,12,8,9,3,5,2,4,4,3,2,2,7,9,15,4,5,6,1,6,157
OTHER THAN MENTIONED ABOVE,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,2,0,0,0,2,1,1,4,3,3,6,1,3,2,1,2,1,2,1,41
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,1,0,2,0,1,14
THREE WHEELER(T),10,12,9,9,11,8,8,11,16,6,6,9,10,23,11,10,23,17,19,29,15,11,13,13,14,31,48,26,29,24,37,24,34,39,23,72,710
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,1,0,0,0,0,0,87,0,0,0,0,0,0,0,0,1,0,0,0,0,1,138,1,0,0,0,0,0,229
TWO WHEELER(NT),4040,3395,3904,3032,3114,3325,3291,3809,3764,3559,2999,2391,4360,3349,3605,3062,3728,3585,3884,4130,3335,3761,3679,2822,5136,4542,4335,4115,4539,4027,4882,4293,4179,4242,3738,2681,134632
TWO WHEELER(T),4,2,2,4,2,1,4,2,3,2,2,5,32,2,1,10,7,2,24,7,14,3,2,11,5,9,2,9,2,5,6,8,3,7,7,8,219
Total,4850,4075,4788,3795,3905,4191,4052,4622,4689,4344,3826,3160,5465,4141,4760,3874,4740,4587,4824,5198,4352,4834,4762,3753,6465,5829,5501,5340,5874,5342,6198,5495,5372,5466,4771,3803,171043
