"Vehicle Category and Month Wise Data for Rajasthan (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),1,0,1,0,0,1,0,0,0,3,0,2,3,2,1,1,0,2,2,2,3,3,7,2,2,4,1,5,2,5,6,2,0,7,5,4,79
HEAVY GOODS VEHICLE,2272,2608,3205,2258,2199,2403,1195,1122,2107,2466,2310,1685,1208,1773,5013,2065,934,1263,1877,1771,3818,2952,2362,2912,4282,3621,4404,3007,1692,1431,1804,1905,2296,3733,2915,1984,86852
HEAVY MOTOR VEHICLE,15,12,16,11,12,11,14,16,18,18,11,12,12,28,15,14,11,13,18,12,17,7,11,11,31,29,49,49,65,53,66,36,37,54,43,34,881
HEAVY PASSENGER VEHICLE,200,452,351,114,187,207,172,346,342,205,144,180,81,90,703,468,267,146,182,136,224,98,92,52,53,72,76,85,106,97,116,122,66,117,80,52,6481
LIGHT GOODS VEHICLE,2429,2727,2845,2249,2611,2373,1990,2286,2652,2616,3366,2590,2195,2712,3695,3383,2445,2369,2528,1927,3025,3685,3973,2858,2986,3083,3103,2966,3070,2251,2383,2235,1689,2945,3194,2982,98416
LIGHT MOTOR VEHICLE,17593,18018,17310,14867,18065,16694,17396,14423,13230,20143,20119,19890,16765,18488,21496,17536,19480,20110,18430,13566,17382,19531,23623,20143,19615,19512,21148,17080,20563,17771,20202,17061,13442,19784,26080,20948,667504
LIGHT PASSENGER VEHICLE,680,844,787,710,813,817,944,967,1148,981,982,790,904,969,1389,1093,827,806,819,758,868,940,962,699,947,930,1085,830,903,840,969,966,642,1084,993,746,32432
MEDIUM GOODS VEHICLE,28,30,33,18,31,21,23,25,16,24,36,21,21,30,38,44,11,12,5,32,24,23,39,22,37,30,32,56,53,49,51,29,20,59,52,61,1136
MEDIUM MOTOR VEHICLE,8,8,14,2,5,8,6,7,10,4,12,10,10,28,18,6,19,11,19,15,21,18,17,16,14,18,17,28,44,50,37,34,25,42,23,72,696
MEDIUM PASSENGER VEHICLE,43,57,54,33,74,103,131,130,294,87,55,60,53,56,86,135,68,84,80,90,116,89,67,42,47,50,56,50,57,56,96,99,73,79,66,49,2865
OTHER THAN MENTIONED ABOVE,132,136,131,124,105,107,94,98,146,109,160,196,134,128,239,156,156,168,228,137,172,147,307,356,247,319,410,375,528,374,462,301,223,453,511,412,8481
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,9
THREE WHEELER(T),1434,1701,1693,1250,1480,1870,1706,1842,1951,1849,1979,1525,871,1403,2087,1743,1166,1153,1344,1110,1344,1358,1975,1476,1824,1432,1233,981,1175,940,1254,1418,959,1740,1789,1780,53835
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,1,0,3,3,1,1,0,0,1,0,1,1,4,1,1,2,13,6,10,12,14,9,95,62,90,52,9,15,15,19,441
TWO WHEELER(NT),75282,75359,67867,75592,87515,75120,77847,70317,69262,122111,124428,94955,65676,74449,109069,95259,84052,76074,72071,64550,76870,127948,135381,86062,83105,78853,91857,79226,98288,81510,90237,85968,82450,92481,168543,108741,3224375
TWO WHEELER(T),61,65,31,62,78,38,63,62,53,84,82,39,24,69,292,899,168,80,76,76,95,157,165,135,226,268,233,183,262,281,364,471,359,677,575,290,7143
Total,100178,102018,94338,97290,113176,99773,101582,91641,91232,150703,153685,121956,87957,100225,144143,122802,109605,102292,97683,84183,103980,156958,168994,114792,113426,108233,123721,104930,126903,105770,118138,110700,102290,123270,204885,138174,4191626
