"Vehicle Category and Month Wise Data for Sikkim (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,22,19,27,31,19,21,15,21,22,5,33,11,4,11,27,31,20,8,9,10,6,7,9,32,11,13,26,34,15,29,23,21,9,17,9,8,635
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12
HEAVY PASSENGER VEHICLE,1,1,1,2,2,2,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,3,0,0,0,1,0,1,1,2,0,0,1,0,24
LIGHT GOODS VEHICLE,5,15,17,11,7,10,6,9,6,6,4,7,2,7,3,7,8,9,8,7,6,5,5,4,8,11,7,16,12,4,11,18,13,12,10,5,301
LIGHT MOTOR VEHICLE,239,225,250,260,255,247,244,268,225,230,223,168,184,206,249,225,250,236,225,204,200,242,244,228,234,208,222,236,274,251,298,273,239,231,265,220,8478
LIGHT PASSENGER VEHICLE,90,127,147,125,102,130,99,105,132,103,97,86,65,88,131,151,144,105,77,86,105,94,143,75,106,88,121,154,133,121,103,114,145,167,167,113,4139
MEDIUM GOODS VEHICLE,2,9,2,6,1,5,6,1,3,0,3,4,1,0,2,2,2,1,3,3,1,1,3,3,0,2,0,2,3,5,0,3,3,5,4,0,91
MEDIUM MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,2,1,0,10
MEDIUM PASSENGER VEHICLE,14,1,1,1,1,1,1,3,2,0,0,0,2,0,4,2,7,2,4,0,0,2,0,3,2,2,0,3,1,1,0,0,4,0,1,0,65
OTHER THAN MENTIONED ABOVE,1,0,1,0,5,3,1,2,0,0,4,2,0,0,0,2,1,3,1,3,1,0,0,0,5,2,2,6,3,1,6,3,0,3,1,2,64
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),75,62,48,53,63,77,71,68,78,57,66,42,64,60,89,73,79,68,106,101,101,104,121,103,135,130,126,142,162,191,230,230,225,193,239,177,4009
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,10,1,0,0,0,0,0,0,3,20
Total,449,459,494,489,455,496,443,477,472,401,431,321,323,373,508,493,512,433,433,416,420,455,527,457,501,456,505,605,606,604,673,666,638,630,698,529,17848
