"Vehicle Category and Month Wise Data for Telangana (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),28,25,47,37,36,50,35,22,32,33,53,45,61,36,32,37,44,33,34,49,39,33,39,34,47,56,39,35,32,39,47,35,45,36,32,34,1391
HEAVY GOODS VEHICLE,420,613,788,647,571,445,420,415,438,545,559,511,726,945,1072,723,578,484,672,637,658,732,522,580,763,831,834,910,644,529,580,462,442,578,560,460,22294
HEAVY MOTOR VEHICLE,8,18,13,17,17,16,9,6,10,16,12,7,22,6,16,16,4,8,6,11,12,12,18,11,18,8,17,16,10,7,17,9,28,11,21,40,493
HEAVY PASSENGER VEHICLE,1,2,27,16,4,11,7,6,14,4,54,215,179,160,144,190,107,116,15,20,48,36,16,16,208,201,211,122,116,123,77,117,197,135,252,235,3402
LIGHT GOODS VEHICLE,1659,1809,2055,2174,2320,2510,2289,1931,2213,1984,2239,1753,1930,1696,1942,1519,1479,1455,1358,1822,1658,1808,1804,1669,1894,2008,1905,1539,1509,1608,1851,1530,1637,1934,2036,1531,66058
LIGHT MOTOR VEHICLE,18236,17064,19706,17200,17626,18762,18865,16425,19840,18806,22105,19484,23232,18011,19925,18999,18319,19623,18135,18575,17993,17177,20038,18424,23113,18747,18876,16365,16717,16425,17752,15687,15345,17436,21558,14918,665509
LIGHT PASSENGER VEHICLE,1101,1271,1581,1051,1291,2012,1683,1373,1675,1257,1840,1591,1054,1330,1558,1173,1147,1466,1093,1005,973,885,781,920,816,951,1045,699,840,1215,1005,693,772,757,847,833,41584
MEDIUM GOODS VEHICLE,153,135,183,171,164,141,200,176,233,210,245,192,222,204,203,211,196,185,205,221,193,179,186,176,214,213,243,223,138,213,227,185,178,177,257,251,7103
MEDIUM MOTOR VEHICLE,27,28,60,38,17,43,21,21,28,39,31,28,25,36,42,27,20,33,19,20,18,25,23,10,28,25,20,35,28,22,13,17,22,49,43,42,1023
MEDIUM PASSENGER VEHICLE,10,12,14,21,65,240,224,298,201,107,72,76,50,52,279,145,214,446,288,249,175,100,110,135,126,105,151,154,239,605,300,177,132,135,145,113,5965
OTHER THAN MENTIONED ABOVE,8,3,4,7,5,8,5,0,3,1,6,8,10,3,3,5,10,7,8,5,8,16,3,5,6,16,2,8,10,5,14,14,9,13,13,5,256
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1,2,0,0,0,2,1,2,2,1,2,0,0,2,0,2,2,1,2,1,4,0,1,1,2,1,0,0,1,1,2,0,0,0,1,1,38
THREE WHEELER(T),1550,1549,1529,1479,1382,1808,1667,1758,2303,2795,2959,2287,2633,2625,3392,3271,3100,3298,3967,4424,3766,3986,3416,2824,2892,3136,3077,2857,3116,3828,4529,3661,4126,4612,4712,2682,106996
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),48988,46093,51355,46073,46497,49215,48064,44947,50015,53589,68742,52374,52209,49916,50350,46652,48604,48640,48613,56618,51103,49261,65723,65502,61155,62454,60064,51584,58274,55201,64594,52570,53201,60274,86154,54664,1959332
TWO WHEELER(T),0,1,4,1,3,59,5,349,80,119,210,19,154,5,0,20,299,76,112,251,160,148,293,194,80,205,264,91,175,401,667,316,60,160,403,341,5725
Total,72190,68625,77366,68932,69998,75322,73495,67729,77087,79506,99129,78590,82507,75027,78958,72990,74123,75871,74527,83908,76808,74398,92973,90501,91362,88957,86748,74638,81849,80222,91675,75473,76194,86307,117034,76150,2887169
