"Vehicle Category and Month Wise Data for Uttarakhand (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,3,0,0,2,0,1,3,3,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,2,7,4,1,2,3,1,40
HEAVY GOODS VEHICLE,208,196,192,212,220,169,129,115,155,156,170,140,141,184,326,68,0,3,20,20,47,84,93,117,145,171,173,122,51,80,120,117,121,171,157,193,4786
HEAVY MOTOR VEHICLE,2,1,1,3,3,1,1,0,2,3,0,3,0,0,3,0,0,0,0,3,0,0,1,2,0,0,2,0,4,0,1,0,0,5,0,8,49
HEAVY PASSENGER VEHICLE,13,6,13,52,56,9,10,16,14,90,63,12,14,69,131,126,0,0,0,0,9,0,1,5,1,4,1,2,2,15,1,1,0,3,0,16,755
LIGHT GOODS VEHICLE,481,401,441,364,499,364,481,355,345,326,407,386,498,424,457,302,0,70,253,239,307,295,304,318,401,365,404,195,47,234,369,338,296,266,268,342,11842
LIGHT MOTOR VEHICLE,4306,3221,3260,3181,3730,3067,3178,2445,2175,4191,4436,3924,4462,3724,2699,634,149,2116,3344,3228,2779,3615,5373,5069,5058,4197,4425,2721,1177,3184,4250,3827,3233,3571,3982,4442,122373
LIGHT PASSENGER VEHICLE,347,528,533,478,735,395,324,431,331,337,446,394,562,492,365,160,2,85,193,208,235,207,300,298,430,378,398,189,44,142,318,257,224,248,213,281,11508
MEDIUM GOODS VEHICLE,148,166,58,65,75,33,61,43,40,51,68,61,65,62,59,19,1,15,43,50,65,61,79,96,83,74,119,66,7,54,43,26,44,39,15,44,2098
MEDIUM MOTOR VEHICLE,0,2,6,1,4,3,6,3,2,5,1,4,4,12,2,1,0,1,0,1,9,8,9,17,6,7,18,0,1,2,7,2,6,8,2,8,168
MEDIUM PASSENGER VEHICLE,6,8,16,28,25,19,20,24,28,18,15,25,20,31,36,34,0,0,2,0,4,2,1,0,1,2,4,3,0,2,8,3,0,6,3,1,395
OTHER THAN MENTIONED ABOVE,6,5,3,11,8,2,3,7,1,2,4,3,2,5,4,5,0,2,7,5,7,6,5,5,4,4,4,6,1,4,3,5,22,7,6,15,189
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),691,645,562,428,613,516,703,707,635,639,731,732,717,753,388,185,5,124,170,164,205,220,248,275,396,389,457,229,46,228,353,523,576,623,495,707,16078
TWO WHEELER (Invalid Carriage),11,1,1,1,3,0,1,2,0,4,3,6,0,2,3,2,0,0,0,1,1,1,1,2,2,2,2,1,0,0,0,0,1,1,1,1,57
TWO WHEELER(NT),13629,12332,12995,13423,17224,13687,16154,14264,11467,21259,23987,12550,12442,12103,14746,6468,733,7462,11670,12020,9311,12257,20784,15499,12767,11641,13066,7597,2958,9759,12243,11173,9874,12730,20927,12535,455736
TWO WHEELER(T),24,42,24,39,43,28,34,42,22,43,14,22,26,49,59,32,1,2,4,8,9,8,16,30,25,30,40,18,0,9,22,26,50,103,59,100,1103
Total,19872,17554,18105,18286,23241,18293,21105,18456,15217,27125,30348,18265,18954,17911,19278,8036,891,9880,15707,15947,12988,16764,27216,21734,19320,17265,19114,11149,4338,13715,17745,16302,14448,17783,26131,18694,627177
