"Vehicle Category and Month Wise Data for Uttar Pradesh (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),18,14,17,9,19,15,21,19,19,29,30,16,20,19,24,23,24,31,30,26,25,21,33,27,26,30,21,37,35,33,20,15,20,23,21,27,837
HEAVY GOODS VEHICLE,1706,1523,2073,2503,1670,1644,1480,1643,1691,2184,2308,1834,2605,2320,2809,2701,2115,1687,1425,1581,1921,2262,1966,1898,2028,1846,1846,2035,1542,1310,1228,1247,1205,1574,1430,1156,65996
HEAVY MOTOR VEHICLE,127,82,101,103,95,110,100,87,93,215,138,153,152,118,168,174,170,135,71,68,73,43,35,50,49,44,44,54,29,40,34,29,32,32,36,32,3116
HEAVY PASSENGER VEHICLE,117,78,56,136,97,174,239,220,187,169,75,89,147,236,593,439,443,254,235,111,82,290,379,139,59,262,356,389,365,299,120,89,91,82,114,417,7628
LIGHT GOODS VEHICLE,4891,3858,4630,4226,3654,3769,3708,3478,3517,4658,4565,3810,5467,4266,4947,4343,4143,3900,3975,4068,4062,4478,5354,4049,5381,4439,5096,4284,4317,3663,3491,3470,3401,5119,4941,3365,152783
LIGHT MOTOR VEHICLE,44339,37535,40152,41186,40296,37700,37772,34060,29996,47777,41163,37701,52113,42025,44782,40472,44596,45070,39508,39075,38419,42029,52889,42542,59798,50950,48119,50017,45326,42155,46529,41031,34672,66119,51187,42652,1571752
LIGHT PASSENGER VEHICLE,630,466,697,853,1131,1265,1280,1179,1284,1563,1163,1161,1609,1240,1878,2030,2077,2725,3350,2847,2699,2413,2388,1865,3203,2777,3115,3399,3170,2820,3664,3292,2546,3445,2229,1719,75172
MEDIUM GOODS VEHICLE,363,275,364,288,248,205,175,158,205,210,239,208,304,260,293,333,326,209,156,215,261,287,260,226,281,258,363,250,302,228,215,224,232,304,276,234,9235
MEDIUM MOTOR VEHICLE,87,84,98,119,93,92,87,62,67,75,71,62,73,72,67,78,59,87,59,57,53,97,100,92,105,134,121,136,135,101,118,111,108,144,135,120,3359
MEDIUM PASSENGER VEHICLE,27,32,55,132,104,192,248,250,186,133,127,122,184,214,363,431,294,278,341,248,170,137,120,120,150,174,233,335,199,195,279,277,241,198,133,123,7045
OTHER THAN MENTIONED ABOVE,423,470,588,371,348,329,269,283,345,263,319,488,428,426,580,437,481,896,334,269,446,607,607,604,644,643,813,777,613,517,397,482,647,916,715,708,18483
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),2,1,0,0,0,0,0,0,1,2,1,2,2,0,2,1,2,0,0,3,1,0,1,3,2,0,3,0,1,1,1,2,0,0,0,6,40
THREE WHEELER(T),12249,10322,12459,12902,12569,13906,15526,17665,17494,18000,21727,15481,19430,18627,22588,20167,21290,23166,25650,28148,26991,25170,25950,28919,26286,22681,24401,19501,26240,24921,28178,28553,26928,29353,27974,25546,776958
TWO WHEELER (Invalid Carriage),19,22,30,28,31,32,25,23,20,15,21,21,21,17,27,17,16,22,16,36,19,9,20,17,25,19,20,12,20,14,10,5,0,7,5,9,670
TWO WHEELER(NT),168944,163694,180932,225087,273965,198377,153736,131673,97318,258149,279205,134772,171740,190849,206366,195677,300323,220410,160421,148306,144581,165557,392946,213582,184253,209111,212498,290583,251977,196811,198500,164351,122937,259836,493302,160210,7520979
TWO WHEELER(T),0,6,0,20,0,5,110,40,0,0,0,0,0,1,2,0,0,0,0,3,1,14,0,22,85,5,1,5,40,80,40,0,106,81,69,436,1172
Total,233942,218462,242252,287963,334320,257815,214776,190840,152423,333442,351152,195920,254295,260690,285489,267323,376359,298870,235571,225061,219804,243414,483048,294155,282375,293373,297050,371814,334311,273188,282824,243178,193166,367233,582567,236760,10215225
