"Vehicle Category and Month Wise Data for Uttar Pradesh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),30,18,36,28,37,21,30,21,28,20,17,25,26,18,11,24,20,27,30,8,3,478
HEAVY GOODS VEHICLE,1613,1216,1428,1547,1285,895,1071,814,822,1442,1564,1268,1724,1749,1738,1662,1324,1087,1284,969,203,26705
HEAVY MOTOR VEHICLE,43,22,31,38,31,50,15,17,13,25,20,17,9,12,10,35,11,18,14,8,0,439
HEAVY PASSENGER VEHICLE,611,375,570,433,580,221,323,384,423,275,308,302,50,176,70,160,104,161,68,81,25,5700
LIGHT GOODS VEHICLE,5492,4041,4433,4269,4071,3519,3625,3340,3531,6453,4640,3583,6226,4425,4707,4525,4169,4389,4159,3784,609,87990
LIGHT MOTOR VEHICLE,72064,49131,47144,53708,47770,41402,43606,39498,38651,73544,58342,47395,81841,60142,59752,59938,55690,53808,53865,48474,6626,1092391
LIGHT PASSENGER VEHICLE,3968,2965,4259,5201,3283,3150,4191,3732,2912,4477,3148,2500,5116,3504,3639,4012,3750,3572,4939,3903,518,76739
MEDIUM GOODS VEHICLE,352,297,347,327,279,245,235,280,278,470,420,312,512,455,448,472,345,343,346,321,71,7155
MEDIUM MOTOR VEHICLE,148,115,214,133,87,104,66,73,45,71,64,74,72,66,143,63,53,44,46,44,7,1732
MEDIUM PASSENGER VEHICLE,221,205,343,404,221,223,396,292,182,180,165,151,160,204,234,479,303,278,468,303,48,5460
OTHER THAN MENTIONED ABOVE,813,739,930,701,852,930,504,644,828,912,751,717,976,908,862,819,862,672,638,752,128,15938
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),3,2,2,0,2,1,2,1,1,0,3,0,2,2,1,0,0,0,2,9,0,33
THREE WHEELER(T),25565,22047,24059,31648,30063,24271,26040,23389,22396,24618,31617,23556,25489,22552,22527,23826,26343,26757,30900,27793,4203,519659
TWO WHEELER (Invalid Carriage),5,9,12,11,17,13,13,10,18,9,16,14,17,11,14,15,11,27,14,11,3,270
TWO WHEELER(NT),201931,209489,220457,307181,319757,214008,166786,155312,142802,498739,456934,152396,246016,241751,272996,322059,318601,256552,212791,192296,34483,5143337
TWO WHEELER(T),14,10,87,80,81,22,5,0,64,65,104,26,132,2,3,78,7,20,49,43,6,898
Total,312873,290681,304352,405709,408416,289075,246908,227807,212994,611300,558113,232336,368368,335977,367155,418167,411593,347755,309613,278799,46933,6984924
