"Vehicle Category and Month Wise Data for West Bengal (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,1,1,1,1,1,14
HEAVY GOODS VEHICLE,1496,1420,2010,1325,1204,1041,1044,786,1131,545,981,877,945,1107,1342,116,6,7,31,93,272,251,407,748,512,614,880,646,311,380,503,475,702,522,680,714,26124
HEAVY MOTOR VEHICLE,7,8,10,2,3,6,7,2,6,4,2,8,14,14,11,2,0,8,9,10,13,16,16,14,18,21,13,20,12,4,17,16,31,3,9,14,370
HEAVY PASSENGER VEHICLE,70,54,66,69,63,41,58,78,93,35,64,62,53,113,161,89,0,0,0,0,14,0,1,10,1,11,25,9,20,4,18,24,19,3,14,10,1352
LIGHT GOODS VEHICLE,4160,3595,3609,3242,3081,3302,3734,3115,3667,2056,3643,2806,3033,4044,4886,503,63,1305,2127,2555,3190,2654,2681,3231,2541,2472,2869,1933,892,1884,2207,2344,2353,1510,2210,2484,95981
LIGHT MOTOR VEHICLE,10163,7271,7014,7511,7382,7305,7742,6366,7734,5847,9349,6492,8236,7915,8103,1015,42,4843,7065,7371,10885,10368,10535,11398,9785,10177,10927,8275,4301,7201,9991,10164,10308,7571,9689,9341,285682
LIGHT PASSENGER VEHICLE,1330,1065,1060,562,416,514,898,897,1380,507,1000,761,730,1058,1322,308,2,246,388,179,415,191,267,248,250,252,307,131,65,120,215,175,196,142,259,321,18177
MEDIUM GOODS VEHICLE,189,162,197,146,107,119,90,84,91,53,140,166,149,171,209,22,0,18,51,59,84,58,76,103,83,112,163,96,46,55,67,60,63,42,48,57,3436
MEDIUM MOTOR VEHICLE,35,47,40,27,30,38,22,25,27,19,28,29,26,31,20,7,0,13,5,9,16,6,6,14,13,15,26,14,6,11,14,13,29,5,8,13,687
MEDIUM PASSENGER VEHICLE,62,113,81,98,76,67,78,58,60,32,55,46,60,133,223,70,0,1,1,0,19,3,6,9,10,26,20,5,6,12,14,12,8,7,10,10,1491
OTHER THAN MENTIONED ABOVE,140,126,124,96,76,80,92,77,88,61,89,110,78,99,103,20,0,40,52,64,80,114,98,170,106,163,175,68,29,41,60,97,137,57,38,67,3115
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THREE WHEELER(T),2575,2819,3145,2500,1804,2259,1976,1558,3525,1702,3206,2853,1991,3086,3688,759,84,469,1065,912,1941,1959,1749,1884,1864,1957,1775,1034,572,459,1021,1174,911,521,753,751,62301
TWO WHEELER (Invalid Carriage),2,1,1,0,0,1,2,2,5,0,3,2,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,2,0,0,2,0,0,0,0,0,29
TWO WHEELER(NT),115716,76069,80801,73011,66964,70107,102124,85287,92512,50235,97237,77178,68843,93356,152965,35968,861,33650,66324,65719,103663,83575,86335,112282,71951,69248,80038,65898,28904,67340,76672,63619,65424,53478,79816,73990,2687160
TWO WHEELER(T),7,2,5,4,3,2,10,9,13,2,10,9,4,8,6,4,0,4,15,5,8,3,6,6,4,9,5,4,0,3,7,5,7,6,8,8,211
Total,135953,92752,98164,88593,81209,84882,117877,98345,110332,61098,115807,91399,84163,111135,173039,38883,1058,40604,77134,76976,120600,99198,102184,130119,87139,85079,97226,78136,35164,77514,90809,78179,80189,63868,93543,87781,3186131
