"Vehicle Class and Month Wise Data for All State (2022-2024)"\n\nVehicle Class,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
Adapted Vehicle,888,1418,2345,2507,1755,1355,1627,1280,926,794,933,1145,981,1796,4458,2441,2497,2020,2469,2525,2988,3594,1002,1730,1212,2891,3551,1725,1278,1122,1974,1279,876,1108,1199,1732,65421
Agricultural Tractor,63219,55960,71224,51059,60205,64761,69146,59917,54819,54868,72650,73044,68655,64503,75730,52066,66573,92025,86338,69967,50581,56773,56493,73712,84799,72347,73866,52811,65752,67275,74859,61209,58629,58815,75415,94379,2404444
Ambulance,1155,837,1502,1195,1242,1452,890,1610,968,591,899,770,808,681,880,778,830,1656,1468,1100,1294,1432,1041,781,838,1633,1052,892,828,778,922,942,927,1129,1342,1289,38432
Animal Ambulance,11,225,110,14,6,5,6,5,17,5,6,9,7,3,317,125,8,8,6,7,12,11,76,216,24,20,11,2,15,8,6,11,4,9,14,8,1347
Armoured/Specialised Vehicle,0,3,14,35,41,63,1,6,0,18,4,4,21,1,7,7,2,11,2,14,8,6,11,41,31,9,69,25,8,20,20,30,10,1,1,0,544
Articulated Vehicle,1447,1426,1798,2170,1615,1492,1486,1390,1720,2407,2174,1944,2460,2769,3104,3018,2511,1970,1935,2191,2268,2733,2777,2179,2970,2635,2890,3123,2474,2001,2759,2016,2257,3191,2719,2369,82388
Auxiliary Trailer,0,5,0,1,0,0,0,4,0,1,0,0,1,2,5,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,2,1,0,27
Breakdown Van,1,1,1,3,2,1,1,2,0,1,2,0,3,1,2,3,5,4,4,0,3,2,3,2,2,4,5,0,2,1,2,0,3,0,2,2,70
Bulldozer,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Bus,1433,1567,1589,2022,2034,2754,3232,2949,2904,2596,2835,2756,3173,3370,4832,4996,5038,5266,4913,4492,4547,4388,4329,3857,5071,6008,6895,6816,7018,6223,6671,5492,5545,6532,4719,4713,153575
Camper Van / Trailer,40,38,41,42,50,36,50,57,30,35,53,78,69,69,88,60,56,54,42,65,77,60,55,95,91,53,57,40,35,27,36,55,37,34,33,44,1882
Camper Van / Trailer (Private Use),53,42,62,72,95,121,93,77,37,63,61,45,49,58,52,77,111,106,55,105,65,54,76,89,64,84,57,81,60,82,62,62,56,61,60,51,2498
Cash Van,490,277,149,155,187,58,298,192,313,43,70,57,148,104,187,272,131,45,90,84,45,208,172,192,80,82,32,24,30,50,66,145,21,17,20,20,4554
Construction Equipment Vehicle,2082,2188,2835,2540,2287,2575,2278,1853,2356,2505,3113,2954,2901,3503,4085,3592,3552,3224,2955,3358,3689,3840,4107,3920,4315,4615,4820,4309,3849,3331,3319,3089,3242,4727,4101,4346,120355
Construction Equipment Vehicle (Commercial),481,379,413,452,431,443,405,361,373,529,500,556,526,468,565,610,642,511,505,440,607,764,784,757,835,797,896,954,750,677,534,573,716,1049,821,810,21914
Crane Mounted Vehicle,520,490,703,575,579,516,497,464,450,452,552,543,606,617,698,623,688,716,630,689,691,773,667,700,865,883,920,856,794,747,756,701,658,775,636,738,23768
Dumper,910,887,1181,876,911,780,633,634,714,901,1146,1007,1137,1233,1493,1079,1019,1065,740,763,1018,1264,1222,1177,1286,1301,1310,1215,1050,815,762,487,704,1294,1228,941,36183
Earth Moving Equipment,533,618,764,784,705,681,594,580,635,836,867,732,743,833,925,749,642,654,674,704,832,835,782,591,624,739,744,618,557,564,518,483,496,874,536,606,24652
Educational Institution Bus,290,309,383,706,1224,2578,2742,2632,1732,1143,1005,846,745,887,1880,2145,2647,4140,3804,2679,1680,1346,936,939,965,1251,1688,2371,3387,5260,4374,2826,2038,1496,1031,936,67041
Excavator (Commercial),60,70,93,66,64,67,68,62,67,45,54,31,24,22,22,15,14,50,14,8,10,9,10,10,6,10,15,10,14,2,4,8,6,7,4,2,1043
Excavator (NT),532,535,617,466,421,386,343,368,498,578,614,745,632,565,468,425,384,272,252,269,390,542,616,550,609,588,604,587,462,381,318,333,520,1031,734,816,18451
Fire Fighting Vehicle,15,11,68,69,38,72,70,67,27,22,42,56,71,34,30,65,82,18,45,13,19,61,23,32,27,21,53,22,22,83,31,67,28,12,75,59,1550
Fire Tenders,5,14,15,12,49,14,8,12,15,7,15,17,17,24,24,61,30,11,33,33,42,24,22,15,38,27,59,31,28,34,65,90,27,29,10,65,1022
Fork Lift,132,135,157,133,112,138,134,109,120,102,110,106,95,109,114,132,154,122,128,148,90,135,95,176,99,141,139,133,137,123,172,117,138,139,125,150,4599
Goods Carrier,65886,62495,75648,75386,63699,62846,61517,62726,67507,70864,76037,63403,78135,72645,81416,73242,64161,59583,60553,64515,69175,76874,72865,63088,77071,73680,74342,73007,65539,56153,62827,59361,60616,80085,68337,58302,2453586
Harvester,742,1241,2065,898,703,534,487,586,850,592,728,1264,1010,1377,1934,804,863,3615,203,167,450,685,521,638,825,1282,1513,894,935,626,610,842,1119,1216,1018,1048,34885
Hearses,7,6,6,5,8,13,9,11,8,4,6,15,5,6,13,8,11,9,9,13,14,12,11,9,22,16,13,11,13,11,8,14,32,12,53,14,437
Library Van,0,2,3,1,1,4,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,23
Luxury Cab,152,163,200,160,197,229,246,310,379,132,361,111,370,439,628,480,620,487,202,107,113,136,66,53,68,85,171,137,81,70,58,106,78,71,43,47,7356
M-Cycle/Scooter,1161454,1111798,1289624,1327479,1367147,1229098,1135532,1175652,1079745,1708414,1854396,1141758,1274488,1275214,1448256,1234767,1496954,1317661,1236171,1272259,1318940,1512292,2255434,1474688,1479381,1460265,1545686,1650405,1549388,1391158,1465134,1351321,1221345,2072565,2644132,1221390,51751391
M-Cycle/Scooter-With Side Car,751,805,1044,984,1094,877,824,1772,1228,1693,2082,944,930,1007,1309,1072,1157,933,877,961,965,1118,2131,830,553,454,609,664,554,492,665,470,368,540,881,322,33960
Maxi Cab,514,459,686,821,919,1059,1290,1445,1320,1174,1157,852,1077,1159,1613,1749,1747,2003,2126,2255,2106,1907,1518,1351,1985,2247,2390,2259,2322,2119,2702,2463,1892,2187,1852,1554,58279
Mobile Canteen,8,2,1,6,21,4,5,10,6,5,4,13,4,1,7,3,2,1,1,6,2,6,2,7,15,8,10,0,0,2,0,7,3,4,0,1,177
Mobile Clinic,9,9,20,18,19,41,12,9,32,13,17,10,428,18,7,158,124,15,15,16,11,149,187,125,15,123,19,76,26,13,16,14,27,20,7,18,1836
Mobile Workshop,11,6,4,4,4,6,2,6,2,2,0,1,2,8,1,5,17,8,3,4,1,6,2,3,4,3,9,3,3,2,7,4,4,11,3,2,163
Modular Hydraulic Trailer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,3,2,17
Moped,26047,26126,30292,30022,28991,29267,27395,27906,27731,39521,38951,25518,26001,25739,30410,26457,28965,27564,27294,27026,29341,31544,41332,27508,28976,29089,29551,30830,31090,28225,32111,30983,26030,42124,44494,23984,1084435
Motor Cab,6967,5709,7871,8036,8839,9411,11208,11830,12860,13743,13865,13661,15949,12166,18460,16175,17816,18641,20846,25163,23104,23341,21059,19534,29712,24959,27502,25612,25755,23718,27299,25849,23343,29029,22842,18101,659975
Motor Car,285752,264051,296414,288600,289263,284678,274038,294738,279297,358411,309559,285194,348860,292189,333215,283235,297968,293170,278744,308168,325529,349361,365986,291644,389647,322443,310771,327725,295127,275672,312954,303096,268507,480951,323032,289965,11177954
Motor Caravan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5
Motor Cycle/Scooter-SideCar(T),9,7,16,4,100,4,9,11,8,17,13,5,13,7,11,6,5,3,4,7,7,19,11,6,16,9,24,10,10,5,4,6,8,13,4,4,415
