"Vehicle Class and Month Wise Data for All State (2025-2026)"\n\nVehicle Class,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
Adapted Vehicle,2028,2933,6619,2073,1986,1168,1350,1017,1293,1078,2276,4482,2969,5638,2267,1550,973,938,873,1155,98,44764
Agricultural Tractor,88647,61587,68933,56708,67269,72744,83077,80573,61315,66992,119087,108920,109180,84416,77632,71039,78065,95396,110994,82229,7702,1652505
Ambulance,1257,1136,2115,2394,1331,1277,1523,1096,1077,998,1024,1206,1269,1227,1118,1390,1006,1256,1148,1105,156,26109
Animal Ambulance,6,7,9,5,6,15,8,10,16,60,15,17,12,15,18,13,14,6,13,12,2,279
Armoured/Specialised Vehicle,9,3,4,8,5,6,9,30,1,4,0,23,27,33,116,33,18,113,33,61,3,539
Articulated Vehicle,2823,2640,3455,3844,2554,2221,2308,1851,2054,2499,2908,2733,3849,3830,4027,3896,2975,2518,2980,2665,524,59154
Auxiliary Trailer,1,1,1,1,37,142,50,54,58,8,2,7,5,46,101,59,82,187,15,5,0,862
Breakdown Van,5,3,6,4,2,3,3,2,4,0,4,3,5,2,2,1,46,0,5,1,0,101
Bulldozer,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Bus,6170,5803,7239,7385,7762,7491,7768,7760,5534,5723,5057,5898,4809,6395,6365,6876,6557,8276,8288,6927,1029,135112
Camper Van / Trailer,44,76,30,57,44,30,23,32,37,34,29,34,31,26,20,26,20,40,40,38,3,714
Camper Van / Trailer (Private Use),58,42,69,60,71,97,87,58,56,86,68,55,70,87,81,85,92,83,101,81,20,1507
Cash Van,27,35,93,45,83,50,35,30,43,52,50,48,126,79,128,106,102,95,34,44,7,1312
Construction Equipment Vehicle,5438,4272,5199,4051,3803,5893,2323,2403,2877,3692,3902,4101,4766,4822,5042,4557,3577,3637,3820,3556,549,82280
Construction Equipment Vehicle (Commercial),885,744,816,753,755,954,427,432,513,668,528,469,577,513,577,554,501,474,497,486,82,12205
Crane Mounted Vehicle,1051,753,1030,804,725,981,510,470,498,517,526,631,740,674,693,699,562,577,653,518,76,13688
Dumper,1166,1083,1022,1065,824,635,655,477,541,1047,1125,1090,1195,1146,1196,976,764,673,686,548,66,17980
Earth Moving Equipment,634,501,624,504,458,478,296,317,393,570,389,381,524,508,543,474,333,376,401,403,77,9184
Educational Institution Bus,1208,1262,2151,3138,3707,5632,4552,3364,1890,1571,1315,1156,957,1599,2360,3352,3775,6364,5448,3482,397,58680
Excavator (Commercial),3,2,3,8,6,12,5,8,6,5,8,7,6,12,12,13,4,3,2,4,1,130
Excavator (NT),867,709,722,515,395,516,192,286,396,619,488,502,530,505,370,312,227,244,209,231,57,8892
Fire Fighting Vehicle,55,49,32,66,75,23,52,90,103,42,28,31,39,72,54,105,58,80,25,118,11,1208
Fire Tenders,41,28,46,37,62,35,16,34,20,31,26,22,49,51,41,149,53,60,34,50,11,896
Fork Lift,193,155,191,137,129,226,81,73,66,70,69,89,71,107,105,98,96,109,107,99,16,2287
Goods Carrier,82356,67772,74575,69842,61630,58844,61852,62945,62382,99077,83394,73598,97507,89026,89614,84064,70159,73909,82603,76244,10631,1532024
Harvester,1513,1886,2417,1421,1478,1014,946,1325,1771,1881,1814,1934,2169,2559,2784,1532,1449,1171,902,1319,182,33467
Hearses,69,68,17,19,21,22,23,17,53,16,10,46,25,20,17,18,13,14,15,22,1,526
Library Van,0,0,3,0,0,1,1,2,2,0,0,6,2,1,2,1,1,1,0,0,0,23
Luxury Cab,68,145,152,70,38,41,52,48,61,53,58,48,47,61,92,49,79,66,49,46,5,1328
M-Cycle/Scooter,1547670,1371162,1526153,1704177,1671023,1465638,1375904,1390466,1304828,3149592,2578925,1350220,1870953,1719619,1972244,1936054,1810134,1789217,1776084,1667154,204610,35181827
M-Cycle/Scooter-With Side Car,397,341,473,510,622,347,304,320,306,974,711,348,460,430,458,631,618,657,557,511,63,10038
Maxi Cab,2518,2227,2642,2733,2121,1917,2669,2341,1729,2798,2475,2189,2497,3019,3352,3556,2790,3049,3773,3113,409,53917
Mobile Canteen,3,1,5,2,0,4,4,4,11,10,7,1,2,3,9,5,3,2,20,2,0,98
Mobile Clinic,13,26,31,46,32,18,37,66,182,31,75,27,27,15,24,31,23,29,19,46,5,803
